101
0	86110	251072	261424	261932	263954	254866	273506	219399	241771	242596	82385	215953	208196	226514	206616	260524	70993	261896	254893	250914	213453	196769	197903	224749	203938	275511	203882	250815	256760	242038	213854	259968	71493	115775	246841	254798	98297	245352	242001	250664	268654	248000	7371	258022	262143	283796	240217	85056	207923	232680	247770	240341	170105	184447	239568	217394	20727	8606	253559	190050	158027	254980	17413	211550	11786	82163	283491	54200	124212	239877	70085	183088	217185	277527	211631	241885	241774	211770	267958	36369	247206	216441	83569	239566	120297	238862	273431	216343	144074	261185	256233	37300	250209	70046	207872	123778	79707	241000	144323	314516
84749	0	277729	267767	268275	270297	261209	279849	225742	248113	248939	14256	222296	214539	232857	212959	266867	49991	268239	261236	277571	219796	203112	204246	231092	210281	281854	210225	277471	263103	248381	220197	266311	19310	122118	273497	261141	124954	251695	248344	277321	274997	254343	82056	264365	268486	290139	246560	525	214266	239023	254112	246683	176448	190790	245910	223737	70350	75487	259902	196393	164370	261323	79654	217893	72840	14034	289834	46010	130555	246220	49083	189431	223528	283870	217974	248227	248116	218113	273567	63906	273863	222783	1266	245909	126640	245205	279773	222686	150417	267528	262576	64837	256552	36571	214215	130121	3550	247343	150666	341173
253303	281064	0	195137	195645	197667	188579	207219	108009	64837	176309	277339	104563	232985	115124	231405	194237	265947	195609	188606	172	102063	144786	145920	113359	228727	209224	228671	279	190473	175751	98064	193681	266447	206482	29827	188511	195963	58804	175714	575	202367	181713	250610	191735	195856	217509	63284	280009	143615	166393	61221	63407	156628	101319	173280	106004	246157	254834	187272	138067	143668	188693	47533	100160	248647	277117	217204	249154	214919	173590	265039	99960	105795	211240	95841	175597	175486	95980	43129	246193	3173	105050	278522	173279	211004	172575	207143	104953	234781	194898	189946	247124	183922	265000	92082	214485	274661	174713	235030	269837
259159	266912	190918	0	508	88489	79400	98041	153311	159821	34186	263187	149865	179174	160426	177593	85059	251795	86430	79428	190759	147365	100895	102028	158660	174915	100616	174859	190660	81295	33628	143366	84502	252295	189170	194518	23600	298050	163402	20295	190510	93189	18275	256466	82556	8031	108902	158267	265857	86129	38313	165820	158391	139316	114567	31158	151306	244760	249897	16395	94176	126356	23783	254063	145461	247250	262965	108597	235002	197607	31468	250886	113208	151096	102633	141143	33475	33364	141282	184582	238558	187051	150352	264370	31156	193692	44495	98536	150255	217469	85720	81339	239489	13044	250848	137384	197172	260509	19294	217718	405375
259544	267297	191303	385	0	88874	79786	98426	153696	160206	34572	263572	150250	179559	160811	177979	85444	252180	86816	79813	191145	147750	101280	102414	159046	175301	101002	175245	191045	81680	34014	143751	84888	252680	189555	194903	23986	298435	163788	20680	190895	93574	18660	256851	82942	8416	109287	158653	266242	86514	38698	166205	158776	139701	114952	31543	151691	245145	250282	16780	94561	126741	24168	254449	145847	247635	263350	108982	235387	197992	31853	251272	113593	151482	103018	141528	33860	33749	141667	184967	238943	187437	150737	264755	31542	194077	44880	98921	150640	217854	86105	81724	239874	13430	251233	137769	197558	260894	19679	218103	405760
263757	271510	195516	90533	91041	0	18048	9552	157909	164419	71704	267785	154463	138245	165024	136664	3092	256393	1689	18076	195357	151963	105493	106626	163258	133986	73434	133930	195258	6109	71146	147964	3661	256893	193768	199116	83907	302648	168000	71110	195108	4700	77109	261064	5544	91252	81720	162865	270455	90727	61789	170418	162989	143914	119165	68676	155904	249358	254495	82668	98774	130954	84089	258661	150059	251848	267563	81415	239600	202205	68986	255485	117806	155694	75451	145741	70993	70882	145880	189180	243156	191649	154950	268968	68675	198290	67971	71354	154853	222067	7255	54157	244087	79318	255446	141982	201771	265107	70109	222316	409973
255409	263162	187168	82185	82693	18789	0	28341	149561	156071	63357	259437	146115	129897	156676	128317	15359	248045	16731	27	187010	143615	97145	98279	154911	125639	65087	125583	186911	11595	62799	139616	14803	248545	185420	190768	75559	294300	159653	62762	186760	23489	68761	252716	12857	82904	73372	154518	262108	82379	53441	162071	154641	135566	110817	60329	147556	241010	246147	74320	90426	122606	75741	250314	141712	243500	259215	73067	231252	193857	60638	247137	109458	147347	67103	137393	62646	62535	137532	180833	234808	183302	146603	260620	60327	189942	59623	63007	146505	213719	16020	45809	235739	70970	247098	133634	193423	256759	61761	213968	401625
270042	277795	201801	96818	97326	6285	24334	0	164194	170704	77990	274070	160748	144530	171309	142950	9377	262678	7974	24361	201643	158248	111778	112912	169544	140272	79720	140216	201543	12394	77432	154249	9946	263178	200053	205401	90192	308933	174286	77395	201393	2993	83394	267349	11829	97537	88005	169151	276740	97012	68074	176703	169274	150199	125450	74961	162189	255643	260780	88953	105059	137239	90374	264947	156345	258133	273848	87700	245885	208490	75271	261770	124091	161980	81736	152026	77278	77167	152165	195465	249441	197935	161235	275253	74960	204575	74256	77639	161138	228352	13540	60442	250372	85603	261731	148267	208056	271392	76394	228601	416258
220961	228714	106773	156853	157361	159383	150295	168935	0	74983	138025	224989	5040	177475	7557	175895	155953	213597	157325	150322	106615	6854	88691	89825	5792	173217	170940	173161	106515	152189	137467	23514	155397	214097	150972	110373	150227	259852	78565	137430	106365	164083	143429	218268	153451	157572	179225	73430	227659	105331	128109	80982	73553	101118	45809	134996	14645	206562	211699	148988	81972	88158	150409	128068	8236	209052	224767	178920	196804	159409	135306	212689	44450	14436	172956	25870	137313	137202	25722	100437	200360	102907	4297	226172	134995	155494	134291	168859	4446	179271	156614	151662	201291	145638	212650	29983	158975	222311	136429	179520	351086
242677	250430	62580	162599	163107	165129	156041	174681	74215	0	143771	246705	70769	199191	81330	197611	161700	235314	163071	156068	62422	68270	112248	113382	79565	194933	176686	194877	62323	157936	143213	64271	161143	235814	172689	66181	155973	232306	34305	143176	62172	169829	149175	239985	159197	163319	184971	10366	249376	111077	133855	36723	952	122835	67525	140743	72211	228279	233415	154734	105529	109874	156155	83875	66366	230769	246483	184667	218521	181125	141052	234405	66167	72001	178702	62048	143060	142949	62187	56245	222077	58714	71257	247889	140741	177211	140037	174606	71160	200988	162360	157409	223007	151384	234366	58289	180691	244027	142175	201236	306179
